model_label,sample,flow,dimension,metric,outcome,term,coefficient,std_error,t_stat,p_value,ci_low,ci_high,nobs,clusters,r_squared,status,candidate_rows,dropped_rows,dropped_regressors,fixed_effects,se_method,cluster_col,p_value_reference,year
yearly_cross_section_1998,rd2_countries,Imports,product,gini,product_gini,log_gdp_per_capita,-0.016965764951569467,0.002424626036514007,-6.997270793957943,9.198474193344104e-09,-0.02184628402949397,-0.012085245873644963,49,0,0.48379616037919193,ok,49,0,,none,HC1 heteroskedasticity-robust,,"Student t, df=46",1998.0
yearly_cross_section_1999,rd2_countries,Imports,product,gini,product_gini,log_population,-0.0030943406910249305,0.002569863740633864,-1.2040874549487603,0.23434013779736035,-0.008258675226999062,0.0020699938449492005,52,0,0.5017421509019897,ok,52,0,,none,HC1 heteroskedasticity-robust,,"Student t, df=49",1999.0
yearly_cross_section_1999,rd2_countries,Imports,product,gini,product_gini,log_gdp_per_capita,-0.01670654596625964,0.002213000205169864,-7.549274476898339,9.39655101931963e-10,-0.021153736378330925,-0.012259355554188358,52,0,0.5017421509019897,ok,52,0,,none,HC1 heteroskedasticity-robust,,"Student t, df=49",1999.0
yearly_cross_section_2000,rd2_countries,Imports,product,gini,product_gini,log_population,-0.0026918045790151703,0.002320734035070277,-1.1598936105289879,0.2511025911578406,-0.007342659515399329,0.0019590503573689885,58,0,0.4945950460555415,ok,59,1,,none,HC1 heteroskedasticity-robust,,"Student t, df=55",2000.0
yearly_cross_section_2000,rd2_countries,Imports,product,gini,product_gini,log_gdp_per_capita,-0.015357954986157996,0.002076759241864942,-7.395154275257473,8.49416230457578e-10,-0.019519873510964954,-0.011196036461351037,58,0,0.4945950460555415,ok,59,1,,none,HC1 heteroskedasticity-robust,,"Student t, df=55",2000.0
yearly_cross_section_2001,rd2_countries,Imports,product,gini,product_gini,log_population,-0.002903594205283727,0.002199599651869558,-1.3200557668827626,0.19218700702838123,-0.007309921793072429,0.0015027333825049752,59,0,0.5357970020056797,ok,60,1,,none,HC1 heteroskedasticity-robust,,"Student t, df=56",2001.0
yearly_cross_section_2001,rd2_countries,Imports,product,gini,product_gini,log_gdp_per_capita,-0.015948962795962425,0.001977397491551505,-8.065633168902503,6.03022555424802e-11,-0.01991016596838604,-0.01198775962353881,59,0,0.5357970020056797,ok,60,1,,none,HC1 heteroskedasticity-robust,,"Student t, df=56",2001.0
yearly_cross_section_2002,rd2_countries,Imports,product,gini,product_gini,log_population,-0.0029845056379212242,0.002138310595310889,-1.395730650386319,0.16830522700794207,-0.007268056491991831,0.0012990452161493822,59,0,0.5385075685875238,ok,60,1,,none,HC1 heteroskedasticity-robust,,"Student t, df=56",2002.0
yearly_cross_section_2002,rd2_countries,Imports,product,gini,product_gini,log_gdp_per_capita,-0.015327339258456106,0.0018191774033917926,-8.425423067524266,1.550260091153074e-11,-0.018971589507738487,-0.011683089009173727,59,0,0.5385075685875238,ok,60,1,,none,HC1 heteroskedasticity-robust,,"Student t, df=56",2002.0
yearly_cross_section_2003,rd2_countries,Imports,product,gini,product_gini,log_population,-0.002173867164291279,0.0019701343238347686,-1.1034106344891015,0.27456798617599204,-0.006120520463396907,0.001772786134814349,59,0,0.5531919766718855,ok,60,1,,none,HC1 heteroskedasticity-robust,,"Student t, df=56",2003.0
yearly_cross_section_2003,rd2_countries,Imports,product,gini,product_gini,log_gdp_per_capita,-0.015148657065969889,0.0017491601737338923,-8.660531661678757,6.409162080296229e-12,-0.01865264594978064,-0.011644668182159139,59,0,0.5531919766718855,ok,60,1,,none,HC1 heteroskedasticity-robust,,"Student t, df=56",2003.0
yearly_cross_section_2004,rd2_countries,Imports,product,gini,product_gini,log_population,-0.0027037300333741057,0.0020400336662258125,-1.3253359874085668,0.19044165579792782,-0.006790408541378162,0.0013829484746299505,59,0,0.5263242468158045,ok,60,1,,none,HC1 heteroskedasticity-robust,,"Student t, df=56",2004.0
yearly_cross_section_2004,rd2_countries,Imports,product,gini,product_gini,log_gdp_per_capita,-0.014220906850457862,0.0018636226365221864,-7.630786711732755,3.1392648588957756e-10,-0.017954191600505733,-0.010487622100409991,59,0,0.5263242468158045,ok,60,1,,none,HC1 heteroskedasticity-robust,,"Student t, df=56",2004.0
