model_label,sample,flow,dimension,metric,outcome,term,coefficient,std_error,t_stat,p_value,ci_low,ci_high,nobs,clusters,r_squared,status,candidate_rows,dropped_rows,dropped_regressors,fixed_effects,se_method,cluster_col,p_value_reference,bh_q_value
two_way_country_year_cluster,rd2_countries,Imports,partner,gini,partner_gini,lag_log_population,0.003183540780269112,0.01812578809249194,0.17563599243377434,0.8615641443205404,-0.03357726131315667,0.039944342873694895,1752,37,0.8248222043629736,ok,1892,140,,"reporter_code,year",two-way clustered by reporter_code and year,"reporter_code,year","Student t, df=36",
contemporaneous_export_growth,rd2_countries,Imports,partner,gini,partner_gini,contemporaneous_export_growth,0.016201633565121797,0.007458689750791445,2.172182260751982,0.03409148024983195,0.0012600825470830898,0.031143184583160503,1759,57,0.8030343355737313,ok,1892,133,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=56",0.1051411608224005
contemporaneous_export_growth,rd2_countries,Imports,partner,gini,partner_gini,lag_log_real_exports,0.009406887440842865,0.0044154996683992325,2.130424220879441,0.03754287943786363,0.0005615787110462463,0.018252196170639483,1759,57,0.8030343355737313,ok,1892,133,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=56",
contemporaneous_export_growth,rd2_countries,Imports,partner,gini,partner_gini,lag_log_population,0.01102929862516111,0.014515716456206891,0.7598177229788065,0.45055051393920775,-0.018049175643162666,0.04010777289348488,1759,57,0.8030343355737313,ok,1892,133,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=56",
future_export_growth_placebo,rd2_countries,Imports,partner,gini,partner_gini,future_export_growth,0.010452572586817241,0.0050583583578980755,2.066396219337977,0.043427614085686406,0.0003194631537513596,0.020585682019883124,1705,57,0.8050690787305423,ok,1892,187,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=56",0.26056568451411843
future_export_growth_placebo,rd2_countries,Imports,partner,gini,partner_gini,lag_log_real_exports,0.0077570187532145785,0.004173298514348486,1.8587260716061103,0.06832405269717703,-0.0006031027626356381,0.016117140269064793,1705,57,0.8050690787305423,ok,1892,187,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=56",
future_export_growth_placebo,rd2_countries,Imports,partner,gini,partner_gini,lag_log_population,0.012690368180760192,0.0153625058256373,0.8260610817528359,0.4122750500186536,-0.018084429032694093,0.04346516539421448,1705,57,0.8050690787305423,ok,1892,187,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=56",
region_year_fe,rd2_countries,Imports,partner,gini,partner_gini,prior_export_growth,0.0011299289640545745,0.0058570252234272585,0.19291857571912466,0.8477207067445751,-0.010603102454833964,0.012862960382943113,1752,57,0.8576125508075217,ok,1892,140,"region_year_Europe & Central Asia::2024,region_year_Latin America & Caribbean ::2024,region_year_Middle East, North Africa, Afghanistan & Pakistan::2024,region_year_North America::2024,region_year_South Asia::2024,region_year_Sub-Saharan Africa ::2024","reporter_code,region_year",clustered by reporter_code,reporter_code,"Student t, df=56",0.938911785562195
region_year_fe,rd2_countries,Imports,partner,gini,partner_gini,lag_log_real_exports,0.006661713760289206,0.004698520716071361,1.417832156725991,0.16178041462808634,-0.002750554256495206,0.01607398177707362,1752,57,0.8576125508075217,ok,1892,140,"region_year_Europe & Central Asia::2024,region_year_Latin America & Caribbean ::2024,region_year_Middle East, North Africa, Afghanistan & Pakistan::2024,region_year_North America::2024,region_year_South Asia::2024,region_year_Sub-Saharan Africa ::2024","reporter_code,region_year",clustered by reporter_code,reporter_code,"Student t, df=56",
region_year_fe,rd2_countries,Imports,partner,gini,partner_gini,lag_log_population,-0.024041981699395684,0.024386961486109297,-0.9858539249791282,0.32844526566790677,-0.07289493595734464,0.024810972558553267,1752,57,0.8576125508075217,ok,1892,140,"region_year_Europe & Central Asia::2024,region_year_Latin America & Caribbean ::2024,region_year_Middle East, North Africa, Afghanistan & Pakistan::2024,region_year_North America::2024,region_year_South Asia::2024,region_year_Sub-Saharan Africa ::2024","reporter_code,region_year",clustered by reporter_code,reporter_code,"Student t, df=56",
