model_label,sample,flow,dimension,metric,outcome,row_type,label,term,coefficient,std_error,t_stat,p_value,ci_low,ci_high,nobs,clusters,r_squared,status,candidate_rows,dropped_rows,dropped_regressors,fixed_effects,se_method,cluster_col,p_value_reference,threshold_percentile,threshold_log_exports,threshold_exports_constant_2015_usd,exploratory,bh_q_value
exploratory_export_level_threshold_scan,rd2_countries,Imports,partner,top_1pct_share,partner_top_1pct_share,slope,above_threshold,prior_export_growth_above_threshold,0.015701471161169378,0.02986363952652271,0.5257721901988696,0.601122434693862,-0.044122587551355695,0.07552552987369446,1752,57,0.8048824138523347,ok,1892,140,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=56",30,23.810894443100032,21925023413.618587,True,
exploratory_export_level_threshold_scan,rd2_countries,Imports,partner,top_1pct_share,partner_top_1pct_share,difference,above_minus_below,above_minus_below_growth_slope,0.030504548098932813,0.036018193283744185,0.8469205509178107,0.40064435028062373,-0.04164856330639648,0.1026576595042621,1752,57,0.8048824138523347,ok,1892,140,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=56",30,23.810894443100032,21925023413.618587,True,0.9693210704287721
exploratory_export_level_threshold_scan,rd2_countries,Imports,partner,top_5pct_share,partner_top_5pct_share,slope,below_threshold,prior_export_growth_below_threshold,-0.012238840187159535,0.02185701644226044,-0.5599501752442202,0.5777465446520365,-0.05602370551682309,0.03154602514250403,1752,57,0.8060033941016176,ok,1892,140,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=56",30,23.810894443100032,21925023413.618587,True,
exploratory_export_level_threshold_scan,rd2_countries,Imports,partner,top_5pct_share,partner_top_5pct_share,slope,above_threshold,prior_export_growth_above_threshold,0.04063879338411064,0.024213584089101802,1.6783468830788084,0.09885215949472827,-0.007866844212425048,0.08914443098064632,1752,57,0.8060033941016176,ok,1892,140,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=56",30,23.810894443100032,21925023413.618587,True,
exploratory_export_level_threshold_scan,rd2_countries,Imports,partner,top_5pct_share,partner_top_5pct_share,difference,above_minus_below,above_minus_below_growth_slope,0.05287763357127018,0.025441373851855395,2.0784110905006767,0.04226589938623764,0.0019124375278019232,0.10384282961473842,1752,57,0.8060033941016176,ok,1892,140,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=56",30,23.810894443100032,21925023413.618587,True,0.6963352083290884
exploratory_export_level_threshold_scan,rd2_countries,Exports,product,gini,product_gini,slope,below_threshold,prior_export_growth_below_threshold,-0.005312461418818198,0.008666620366860734,-0.6129795922678108,0.5423713992956425,-0.0226737882325099,0.012048865394873506,1743,57,0.9170514842307456,ok,1887,144,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=56",30,23.810894443100032,21925023413.618587,True,
exploratory_export_level_threshold_scan,rd2_countries,Exports,product,gini,product_gini,slope,above_threshold,prior_export_growth_above_threshold,0.005867840192403736,0.007653237944965335,0.7667134139300975,0.44647220102551577,-0.009463437689982432,0.021199118074789906,1743,57,0.9170514842307456,ok,1887,144,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=56",30,23.810894443100032,21925023413.618587,True,
exploratory_export_level_threshold_scan,rd2_countries,Exports,product,gini,product_gini,difference,above_minus_below,above_minus_below_growth_slope,0.011180301611221934,0.012108500711155762,0.9233431849181243,0.35978984602510966,-0.013075940057563702,0.035436543280007574,1743,57,0.9170514842307456,ok,1887,144,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=56",30,23.810894443100032,21925023413.618587,True,0.9693210704287721
exploratory_export_level_threshold_scan,rd2_countries,Exports,partner,gini,partner_gini,slope,below_threshold,prior_export_growth_below_threshold,0.022835829991686048,0.007919546228649108,2.8834770746178617,0.005570905580498127,0.006971072511658058,0.03870058747171404,1749,57,0.7692982175152924,ok,1887,138,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=56",30,23.810894443100032,21925023413.618587,True,
exploratory_export_level_threshold_scan,rd2_countries,Exports,partner,gini,partner_gini,slope,above_threshold,prior_export_growth_above_threshold,0.0174442252682264,0.010176811163791469,1.7141150589776086,0.09203810669844745,-0.0029423772431062707,0.03783082777955907,1749,57,0.7692982175152924,ok,1887,138,,"reporter_code,year",clustered by reporter_code,reporter_code,"Student t, df=56",30,23.810894443100032,21925023413.618587,True,
