country,iso3,reporter_code,horizon,base_year,future_year,total_base_exports,total_future_exports,total_growth,total_gross_positive_growth,total_gross_contraction,existing_product_partner_cell_contraction_gross_positive_share,existing_product_partner_cell_growth_gross_positive_share,existing_product_partner_cell_no_change_gross_positive_share,net_new_partner_existing_product_gross_positive_share,net_new_product_gross_positive_share,new_product_partner_cell_existing_product_partner_gross_positive_share,existing_product_partner_cell_contraction_net_contribution,existing_product_partner_cell_growth_net_contribution,existing_product_partner_cell_no_change_net_contribution,net_new_partner_existing_product_net_contribution,net_new_product_net_contribution,new_product_partner_cell_existing_product_partner_net_contribution
Hungary,HUN,348,10,2015,2025,98112414100.0,154698295476.449,56585881376.449005,101353894595.755,44768013219.306,0.0,0.6823141431082356,0.0,6.325781288989095e-07,0.2697254413564882,0.04795978295714735,-44768013219.306,69155195741.785,0.0,64114.257,27337723953.039,4860910786.674
Iceland,ISL,352,10,2015,2025,4686796593.0,7109127883.870001,2422331290.870001,4259698878.3199997,1837367587.45,0.0,0.6483085009413055,0.0,0.0003402242530278518,0.3074219516459034,0.043929323159763174,-1837367587.45,2761598994.265,0.0,1449252.869,1309524942.597,187125688.589
India,IND,699,10,2014,2024,300391413410.0,428574665942.985,128183252532.98499,271924844564.89996,143741592031.915,0.0,0.613736880805676,0.0,6.348472406639491e-05,0.2782191444803882,0.10798048998986949,-143741592031.915,166890305916.83,0.0,17263073.724,75654697617.809,29362577956.537
Ireland,IRL,372,10,2014,2024,114226894405.35202,241995087870.668,127768193465.31598,208401524080.128,80633330614.812,0.0,0.18012003013081299,0.0,0.0013970449335680367,0.7698186516956995,0.048664273239919446,-80633330614.812,37537288796.62,0.0,291146293.364,160431380278.693,10141708711.451
Italy,ITA,380,10,2015,2025,434737680400.885,699622115360.9668,264884434960.0818,424282710885.379,159398275925.297,0.0,0.5356742150766037,0.0,3.183949794185574e-07,0.4372519741489001,0.02707349237951671,-159398275925.297,227277308124.099,0.0,135089.485,185518452931.879,11486814739.916
Japan,JPN,392,10,2015,2025,587837229985.0,639063474470.572,51226244485.57202,304687197179.10693,253460952693.535,0.0,0.5247796555313229,0.0,9.985896267611983e-05,0.4588303367774961,0.016290148728505063,-253460952693.535,159893642380.456,0.0,30425747.451,139799729293.481,4963399757.719
Korea,KOR,410,10,2015,2025,525103264384.0,708976964820.0,183873700436.0,488247692533.0,304373992097.0,0.0,0.466067222635404,0.0,2.198029845123057e-06,0.4998049625590528,0.03412561677569803,-304373992097.0,227556246017.0,0.0,1073183.0,244028619686.0,16661753647.0
Kyrgyzstan,KGZ,417,10,2015,2025,1309960445.0,2604988322.0,1295027877.0,1969180399.0,674152522.0,0.0,0.4003176323511638,0.0,0.0022142364418284055,0.163941561760386,0.4335265694466218,-674152522.0,788297635.0,0.0,4360231.0,322830510.0,853692023.0
Luxembourg,LUX,442,10,2015,2025,12259762989.0,16337964204.453,4078201215.452999,9438281324.444,5360080108.991,0.0,0.6362331951061806,0.0,0.00010045448004865999,0.27537654135787365,0.08828980905589706,-5360080108.991,6004947883.362,0.0,948117.643,2599081267.488,833304055.951
Mauritania,MRT,478,10,2014,2024,2139810562.0,4149547480.4069996,2009736918.4069996,3880213418.9729996,1870476500.566,0.0,0.2015464321810392,0.0,0.0022549096452317806,0.6325814211501958,0.16361723702353337,-1870476500.566,782043170.6949999,0.0,8749530.664,2454550918.94,634869798.674
Mexico,MEX,484,10,2015,2025,349277800500.0,591427761790.0,242149961290.0,342522536049.0,100372574759.0,0.0,0.709628805861195,0.0,0.03793771752332539,0.22787984924540525,0.024553627370074337,-100372574759.0,243063858237.0,0.0,12994523218.0,78053983878.0,8410170716.0
Morocco,MAR,504,10,2014,2024,23812982993.0,80525530850.752,56712547857.752,64515227382.949005,7802679525.197,0.0,0.7558221393066735,0.0,0.0014045402001628658,0.06886121176184759,0.17391210873131593,-7802679525.197,48762037178.437004,0.0,90614230.382,4442596734.681,11219979239.449
Mozambique,MOZ,508,10,2014,2024,4725256363.0,8191933249.9,3466676886.8999996,6663525033.6,3196848146.7,0.0,0.3132713447123081,0.0,0.00900489180988075,0.061568742209459744,0.6161550212683513,-3196848146.7,2087491447.8000002,0.0,60004322.0,410264855.0,4105764408.7999997
