sample,model_label,outcome,term,coef,std_error,t_stat,p_value,ci_low,ci_high,nobs,clusters,p_value_reference,se_method,r2_within,check
baseline,product_export_value_gini,asinh_export_value,loo_gini_contribution_z,-3.527181148164527,0.330723315871836,-10.665051355288789,2.1806621156133163e-15,-4.188956974650097,-2.8654053216789572,8742823,60,"Student t, df=59",clustered by reporter_code,0.09407466262157849,Export value: product-Gini contribution
baseline,product_export_any_gini,export_any,loo_gini_contribution_z,-0.15050973932352757,0.016401807369216124,-9.176411838978984,5.81240373043847e-13,-0.18332968006162312,-0.11768979858543202,8742823,60,"Student t, df=59",clustered by reporter_code,0.03523111747228602,Export probability: product-Gini contribution
baseline,product_export_value_partner_hhi,asinh_export_value,loo_partner_hhi_contribution_z,0.0753300383612379,0.03844312342825506,1.9595191972843593,0.05478177127588019,-0.0015944739379772643,0.15225455066045307,8742823,60,"Student t, df=59",clustered by reporter_code,0.02248881487715093,Export value: partner-HHI contribution
baseline,product_export_value_intermediate_interaction,asinh_export_value,loo_gini_x_intermediate_z,-0.5502200196904323,0.19094388521268024,-2.881579680216401,0.0055099188818131155,-0.9322978514752222,-0.1681421879056425,8742823,60,"Student t, df=59",clustered by reporter_code,0.09006039834155455,Intermediate interaction
excluding oil/gas/gold/coal,product_export_value_gini,asinh_export_value,loo_gini_contribution_z,-2.99753463892008,0.21648643882320484,-13.846292891205243,3.426399869310652e-20,-3.4307230024241013,-2.5643462754160584,8710526,60,"Student t, df=59",clustered by reporter_code,0.123801802775096,Export value: product-Gini contribution
excluding oil/gas/gold/coal,product_export_any_gini,export_any,loo_gini_contribution_z,-0.129743114318616,0.012275962744549871,-10.568874883252454,3.106274602657868e-15,-0.15430725903204404,-0.10517896960518794,8710526,60,"Student t, df=59",clustered by reporter_code,0.04628292452735727,Export probability: product-Gini contribution
excluding oil/gas/gold/coal,product_export_value_partner_hhi,asinh_export_value,loo_partner_hhi_contribution_z,0.0520876206699089,0.08398634801949892,0.6201915180049957,0.5375198971865889,-0.11596867353962115,0.22014391487943896,8710526,60,"Student t, df=59",clustered by reporter_code,0.030243488796892537,Export value: partner-HHI contribution
excluding oil/gas/gold/coal,product_export_value_intermediate_interaction,asinh_export_value,loo_gini_x_intermediate_z,-0.3687150631686889,0.1323460828015196,-2.785991510769938,0.0071652013721221425,-0.6335389631626167,-0.10389116317476105,8710526,60,"Student t, df=59",clustered by reporter_code,0.11963007060053221,Intermediate interaction
