year,countries,median_world_relative_product_gini,mean_world_relative_product_gini,median_world_weighted_share_gini,median_active_product_gini,median_world_relative_minus_active_product_gini
1988,8,0.9308806463659258,0.9130701677168654,0.8926558210477806,0.9210405885107307,0.008441286133309245
1989,15,0.8730297450130977,0.874958492957431,0.8824993255812397,0.917712903406527,-0.03825815361487106
1990,16,0.8726911778869599,0.870045056284604,0.8919685163863242,0.923977341293323,-0.05022093411956735
1991,18,0.8286890935677255,0.8291894362339448,0.8859687455803278,0.9201911325280683,-0.07041059291175483
1992,26,0.8365189436304468,0.825831336151243,0.8884942364978644,0.9182593924846632,-0.07099879242014556
1993,30,0.8154283177698436,0.8122002217852543,0.8664939537090577,0.9116486550931016,-0.07050544930749497
1994,40,0.8226357796445244,0.8100147863112985,0.8682222560728822,0.9017168339943501,-0.07144956471904546
1995,45,0.8395423037162653,0.8251439238489205,0.8745906551647658,0.9122614625524744,-0.0603969215721214
1996,49,0.8529187574140226,0.8411995381812142,0.8920123533944475,0.9160306815295014,-0.05534919294635654
1997,48,0.8575213795356008,0.8412504479485593,0.8852816549665933,0.9180693771903692,-0.060068905080292834
1998,49,0.8445216901822239,0.8297159860070996,0.8845934967245095,0.9153280611576884,-0.07068447067631067
1999,52,0.8502162468953978,0.8295397775211413,0.8768216173761216,0.9211980503433395,-0.072998283083262
2000,58,0.8559318541707905,0.8384196635662785,0.8971280907232158,0.9269356783120092,-0.07289103864136903
2001,59,0.8612712473652805,0.8387597765485972,0.9013030059759087,0.9303130847725652,-0.06878073962418074
2002,59,0.8586557033015626,0.8406521690549278,0.8968592775646781,0.9332256382163848,-0.07079628701208185
2003,59,0.8588746011506426,0.8391882479778057,0.8975498871677082,0.9323828921445932,-0.06939832607904461
2004,59,0.8530213995532743,0.8367318505690232,0.8916248067887125,0.931352460983126,-0.07486010147805833
2005,60,0.8478742488848472,0.8340175635643458,0.9013142082194963,0.933369678326068,-0.08055464962530462
2006,58,0.8408947994852238,0.8292439259308523,0.8911463586522058,0.9342868101376409,-0.09112974235398535
2007,60,0.8418268709361909,0.833613135976322,0.8924888518866415,0.9355311827498554,-0.09327374597002835
2008,60,0.8321320472954079,0.8312644181811233,0.8866201130336713,0.9380288562454272,-0.09195170144099762
2009,59,0.8383777183732728,0.8308866085736598,0.8906217477915527,0.9365160318459532,-0.09437358915676963
2010,59,0.8400384091559927,0.8342597843682467,0.8930303914475294,0.9362841222157364,-0.09121308130782657
2011,59,0.8425303984601611,0.8345582874283489,0.8986921734601,0.9373451751237154,-0.09156326755015887
2012,60,0.8437711441425528,0.8317979448927186,0.8993547901154282,0.9429370290337662,-0.08645600144349269
2013,60,0.8417008839882835,0.832373762416083,0.8959616205507037,0.9402722923904823,-0.09531703494236432
2014,60,0.8381603266035107,0.8296651990888395,0.8915668511690615,0.9401653283220394,-0.10012304224426116
2015,60,0.853604498062629,0.8278032746924888,0.8962062204865923,0.9355231847601456,-0.09602550406431565
2016,60,0.8475015784913911,0.8272730252151431,0.898629205154615,0.9388177052469319,-0.09608175529438123
2017,60,0.8458367524042263,0.8285342559973846,0.9022033866627917,0.9389116797371195,-0.09852356280877933
2018,60,0.8441620530196277,0.8293820931986733,0.906766428460021,0.940755267448701,-0.09854586280820693
2019,60,0.8428755289624486,0.8288714403912437,0.904138434456454,0.9410405974080228,-0.10112062951404654
2020,60,0.8440383403031222,0.8293314875395764,0.9091173647125371,0.9426671336380468,-0.09438392627040942
2021,60,0.8485319258949922,0.8339996398507373,0.9108821494978359,0.9530184461055031,-0.09579069002155033
2022,59,0.8604033561341086,0.8337616246048657,0.9183394419130059,0.94622465098215,-0.10255160656788065
2023,58,0.8554293944781257,0.8265547864883347,0.9168763592280684,0.942391526773085,-0.10030045556539113
2024,56,0.8530273577924496,0.822275001099977,0.9084357215036336,0.9399886759083766,-0.09699236556500224
