bin,bin_label,observations,exported_count,score_min,score_max,mean_loo_gini,export_probability,mean_asinh_export_value,export_probability_se,export_probability_ci_low,export_probability_ci_high
1,4pct,7332,7256,-0.01955421384936562,-0.0024606235732143045,-0.0045425542579023625,0.9896344789961812,20.98819509469231,0.00118282841425744,0.9873161353042366,0.9919528226881258
2,4pct,7331,7190,-0.0024605800571722014,-0.0013157197589261926,-0.0017906723378450686,0.9807666075569499,19.497892978747174,0.0016040916283085304,0.9776225879654652,0.9839106271484346
3,4pct,7331,7108,-0.0013157142166075886,-0.00089840768078564,-0.0010721095904020607,0.9695812303914882,18.85636873462962,0.0020057708335575737,0.9656499195577154,0.9735125412252611
4,4pct,7331,7110,-0.0008983815631615766,-0.0007114266900161148,-0.0007949773466055385,0.9698540444686946,18.50031654714733,0.001997036984524058,0.9659398519790274,0.9737682369583618
5,4pct,7331,7105,-0.0007113841961745582,-0.0005795378486312952,-0.0006438008500799186,0.9691720092756786,18.450565069243552,0.0020187913324310816,0.9652151782641136,0.9731288402872436
6,4pct,7331,7049,-0.0005795317745165285,-0.0004632394287180652,-0.0005197732016240053,0.9615332151138999,18.055305110509675,0.002246174436044334,0.957130713219253,0.9659357170085467
7,4pct,7331,7038,-0.0004632251910128282,-0.0003655361263810164,-0.00041335948227929584,0.9600327376892648,17.973579573057176,0.0022877765924634364,0.9555486955680365,0.9645167798104931
8,4pct,7331,7058,-0.0003655360564811527,-0.00028114711391147296,-0.0003220274395224778,0.9627608784613286,17.933124583344284,0.0022114510015107404,0.9584264344983676,0.9670953224242896
9,4pct,7331,7024,-0.000281141471863533,-0.00020804414074437894,-0.0002438365071652822,0.9581230391488201,17.546271170989062,0.002339465310791497,0.9535376871396688,0.9627083911579715
10,4pct,7331,6985,-0.00020803803008395683,-0.00014356306389817775,-0.0001749951444582212,0.9528031646432956,17.196699000014785,0.0024767172294710526,0.9479487988735323,0.9576575304130589
11,4pct,7331,6933,-0.00014355667353926904,-8.857166974807207e-05,-0.00011526126153275413,0.9457099986359296,16.887280397160694,0.0026464110842393386,0.9405230329108205,0.9508969643610388
12,4pct,7331,6926,-8.857019158070578e-05,-3.967055658327112e-05,-6.366709923853874e-05,0.9447551493657073,16.557402950450708,0.0026682340742485906,0.93952541058018,0.9499848881512345
13,4pct,7331,6798,-3.9663040990900456e-05,1.924987094392705e-06,-1.8405121437728015e-05,0.9272950484244987,15.93896045643758,0.003032559672671482,0.9213512314660626,0.9332388653829349
14,4pct,7331,6229,1.9408919851304773e-06,3.4963009693411706e-05,1.9287477505467086e-05,0.8496794434592825,13.914291094440005,0.004174025841210688,0.8414983528105096,0.8578605341080554
15,4pct,7331,6105,3.496311899131577e-05,6.374916595874858e-05,4.9108112694652666e-05,0.8327649706724867,13.29094221250537,0.004358562118646532,0.8242221889199395,0.8413077524250339
16,4pct,7331,6312,6.375875727560043e-05,9.25908982181145e-05,7.818793140697354e-05,0.8610012276633474,13.601507472193417,0.004040412982020329,0.8530820182185875,0.8689204371081073
17,4pct,7331,6505,9.259355842528016e-05,0.00012578667995533088,0.00010867590418987773,0.8873277861137635,13.830986141605017,0.003692911031199583,0.8800896804926123,0.8945658917349147
18,4pct,7331,6596,0.0001257926949564947,0.00016640848771487526,0.00014546613095356003,0.8997408266266539,14.246319274242687,0.003507835054501082,0.8928654699198317,0.906616183333476
19,4pct,7331,6651,0.00016641094561054004,0.0002216576613962573,0.00019241119666253424,0.9072432137498295,14.646993423269226,0.0033880756670283457,0.900602585442454,0.9138838420572051
20,4pct,7331,6695,0.0002216630763745009,0.0003027524604306553,0.00025899242135689755,0.9132451234483699,15.112650636720794,0.0032874489631933568,0.9068017234805109,0.919688523416229
21,4pct,7331,6790,0.0003027539203541707,0.0004217627405480595,0.00035804682528790826,0.9262037921156732,15.807373264832588,0.0030534350776779805,0.9202190593634243,0.932188524867922
22,4pct,7331,6975,0.00042176813626504384,0.0005925822481163134,0.0005011861280876799,0.9514390942572637,16.788704681243804,0.0025104540442744167,0.9465186043304858,0.9563595841840415
23,4pct,7331,7055,0.0005927292976761755,0.0009225809312731759,0.0007336514213033543,0.962351657345519,17.181256756414765,0.0022230960182602452,0.9579943891497289,0.966708925541309
24,4pct,7331,6994,0.0009226922534331106,0.00209315634944085,0.0013962455350322981,0.9540308279907244,17.750549333233664,0.002445867549921278,0.9492369275928787,0.95882472838857
25,4pct,7332,7173,0.002093311885693172,0.053931986353064065,0.007430276897437544,0.9783142389525368,20.20693270961485,0.0017010430040388992,0.9749801946646205,0.9816482832404531
