model_label,sample,flow,dimension,metric,outcome,term,coefficient,std_error,t_stat,p_value,ci_low,ci_high,nobs,clusters,r_squared,status,candidate_rows,dropped_rows,dropped_regressors,fixed_effects,se_method,cluster_col,p_value_reference,bh_q_value
primary_share_strict_year_fe,rd2_countries,Imports,partner,top_5pct_share,partner_top_5pct_share,log_gdp_per_capita,0.014652280566976162,0.007307205322566,2.005182545196481,0.04953782338014572,3.059648977961002e-05,0.029273964644172715,1878,60,0.12410449613101304,ok,1892,14,,year,clustered by reporter_code,reporter_code,"Student t, df=59",
primary_share_strict_year_fe,rd2_countries,Imports,partner,top_5pct_share,partner_top_5pct_share,primary_export_share_strict,-0.005688674118325864,0.0401754699252054,-0.1415957082497469,0.8878817406843391,-0.08607960375118606,0.07470225551453433,1878,60,0.12410449613101304,ok,1892,14,,year,clustered by reporter_code,reporter_code,"Student t, df=59",
primary_share_strict_year_fe,rd2_countries,Exports,product,gini,product_gini,log_population,-0.009814210340191283,0.001989430268371692,-4.933176345117144,6.94459785557668e-06,-0.013795051112231942,-0.005833369568150626,1878,60,0.5640733953515316,ok,1887,9,,year,clustered by reporter_code,reporter_code,"Student t, df=59",8.333517426692016e-05
primary_share_strict_year_fe,rd2_countries,Exports,product,gini,product_gini,log_gdp_per_capita,-0.00842745309180679,0.0020660687645856746,-4.07897996245871,0.0001375205539785946,-0.01256164714055526,-0.004293259043058318,1878,60,0.5640733953515316,ok,1887,9,,year,clustered by reporter_code,reporter_code,"Student t, df=59",
primary_share_strict_year_fe,rd2_countries,Exports,product,gini,product_gini,primary_export_share_strict,0.07081888476168889,0.015391050529792654,4.6013028561373295,2.2764188422359364e-05,0.04002146378765081,0.10161630573572697,1878,60,0.5640733953515316,ok,1887,9,,year,clustered by reporter_code,reporter_code,"Student t, df=59",
primary_share_strict_year_fe,rd2_countries,Exports,partner,gini,partner_gini,log_population,-0.003562723401899252,0.002081027005051814,-1.7120024839901327,0.09214835978963343,-0.007726848820684801,0.0006014020168862971,1878,60,0.09904060254412539,ok,1887,9,,year,clustered by reporter_code,reporter_code,"Student t, df=59",0.2446907344624382
primary_share_strict_year_fe,rd2_countries,Exports,partner,gini,partner_gini,log_gdp_per_capita,0.004157296842515716,0.002569762848996529,1.6177745133715764,0.11104562695255493,-0.0009847867411092778,0.009299380426140709,1878,60,0.09904060254412539,ok,1887,9,,year,clustered by reporter_code,reporter_code,"Student t, df=59",
primary_share_strict_year_fe,rd2_countries,Exports,partner,gini,partner_gini,primary_export_share_strict,0.007702590023866826,0.013674095610158348,0.5632979498947374,0.5753666532955941,-0.019659212091597093,0.03506439213933075,1878,60,0.09904060254412539,ok,1887,9,,year,clustered by reporter_code,reporter_code,"Student t, df=59",
primary_share_strict_year_fe,rd2_countries,Exports,product,top_1pct_share,product_top_1pct_share,log_population,-0.019385843015359176,0.005890653825082037,-3.2909492886537426,0.0016885412591516264,-0.031173014093266303,-0.007598671937452046,1878,60,0.585632271861271,ok,1887,9,,year,clustered by reporter_code,reporter_code,"Student t, df=59",0.0067541650366065055
primary_share_strict_year_fe,rd2_countries,Exports,product,top_1pct_share,product_top_1pct_share,log_gdp_per_capita,-0.019901446326613295,0.008086208897105653,-2.4611590647548995,0.016793068669797444,-0.03608191295597793,-0.0037209796972486574,1878,60,0.585632271861271,ok,1887,9,,year,clustered by reporter_code,reporter_code,"Student t, df=59",
