source_file,reporter_code,year,total_imports_cells,total_imports_cells_excluding_999999,unspecified_imports_cells,unspecified_import_share,active_products,active_partners,actual_partner_gini,counterfactual_partner_gini,partner_gini_reduction,explained_share,counterfactual_residual_share,full_diffusion_partner_gini,full_diffusion_reduction,full_diffusion_explained_share,conservative_total_abs_error,full_diffusion_total_abs_error,conservative_product_total_max_abs_error,country,iso3,exercise1_product_total_imports,exercise1_partner_total_imports,exercise1_partner_gini,exercise1_partner_active_count,exercise4_summary_total_imports,exercise4_summary_import_products,exercise4_country,exercise4_iso3,partner_gini_validation_abs_diff,exercise4_total_abs_diff,exercise1_product_total_abs_diff,exercise1_partner_total_abs_diff,exercise1_total_abs_diff
COMTRADE-FINAL-CA8002024H6[2025-10-15].parquet,800,2024,13832924772.85,13832924772.85,0.0,0.0,4404,174,0.902842732112652,0.7585980654100914,0.14424466670256053,0.159767212574252,0.840232787425748,0.0,0.902842732112652,1.0,0.0,0.0,2.9802322387695312e-08,Uganda,UGA,13832924772.849998,13832924772.850002,0.902842732112652,174,13832924772.849998,4404.0,Uganda,UGA,0.0,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06
COMTRADE-FINAL-CA2462025H6[2026-04-28].parquet,246,2025,87865473288.93997,83093116069.04997,4772357219.889999,0.054314363096826544,5071,212,0.894342259934976,0.7505610544809995,0.14378120545397644,0.16076754045417713,0.8392324595458229,0.0,0.894342259934976,1.0,3.0517578125e-05,0.0,1.1920928955078125e-07,Finland,FIN,83093116069.05,87865473288.94,0.8943422599349755,212,83093116069.05,5071.0,Finland,FIN,4.440892098500626e-16,3.0517578125e-05,3.0517578125e-05,3.0517578125e-05,3.0517578125e-05
COMTRADE-FINAL-CA7162024H6[2025-04-09].parquet,716,2024,9533498151.257,9467255896.909,66242254.34799999,0.00694836809081102,4305,149,0.9252318641111461,0.7853310024742906,0.13990086163685556,0.15120627278790905,0.8487937272120909,0.0,0.9252318641111461,1.0,0.0,0.0,7.450580596923828e-09,Zimbabwe,ZWE,9467255896.909,9533498151.257,0.925231864111146,149,9467255896.909,4305.0,Zimbabwe,ZWE,1.1102230246251565e-16,0.0,0.0,0.0,0.0
COMTRADE-FINAL-CA4422025H6[2026-03-24].parquet,442,2025,27466321628.794003,26041577825.209003,1424743803.585,0.05187239204580588,5107,230,0.9426882924528139,0.8032666525672365,0.13942163988557743,0.14789792235863178,0.8521020776413682,0.0,0.9426882924528139,1.0,3.814697265625e-06,0.0,5.960464477539063e-08,Luxembourg,LUX,26041577825.209,27466321628.794006,0.942688292452814,230,26041577825.209,5107.0,Luxembourg,LUX,1.1102230246251565e-16,3.814697265625e-06,3.814697265625e-06,3.814697265625e-06,3.814697265625e-06
COMTRADE-FINAL-CA3002024H6[2025-02-25].parquet,300,2024,88309277231.333,87257520157.956,1051757073.3769999,0.011909927318528956,5156,200,0.8669090739986882,0.7282945924251709,0.1386144815735173,0.15989506365892192,0.8401049363410781,0.0,0.8669090739986882,1.0,1.52587890625e-05,0.0,2.9802322387695312e-08,Greece,GRC,87257520157.956,88309277231.33301,0.8669090739986882,200,87257520157.956,5156.0,Greece,GRC,0.0,0.0,0.0,1.52587890625e-05,1.52587890625e-05
COMTRADE-FINAL-CA1912025H6[2026-04-24].parquet,191,2025,50146284466.0,50079981002.0,66303464.0,0.0013222009308576955,5168,159,0.8852547375769677,0.7474703024431055,0.13778443513386218,0.15564382689551282,0.8443561731044872,0.0,0.8852547375769677,1.0,0.0,0.0,2.384185791015625e-07,Croatia,HRV,50079981002.0,50146284466.0,0.8852547375769677,159,50079981002.0,5168.0,Croatia,HRV,0.0,0.0,0.0,0.0,0.0
COMTRADE-FINAL-CA7052025H6[2026-05-08].parquet,705,2025,79378651421.095,79179314195.51399,199337225.581,0.0025112196039151382,5182,229,0.9319727999228471,0.7948645946473172,0.13710820527552992,0.14711610176485876,0.8528838982351412,0.0,0.9319727999228471,1.0,0.0,0.0,5.960464477539063e-08,Slovenia,SVN,79179314195.51399,79378651421.09499,0.9319727999228472,229,79179314195.514,5182.0,Slovenia,SVN,1.1102230246251565e-16,1.52587890625e-05,0.0,1.52587890625e-05,1.52587890625e-05
COMTRADE-FINAL-CA1162024H6[2026-04-27].parquet,116,2024,28647598949.33,28645293022.6,2305926.73,8.049284458633243e-05,4321,155,0.9526080136115356,0.8213673192225517,0.1312406943889839,0.13776988279935107,0.8622301172006489,0.0,0.9526080136115356,1.0,0.0,0.0,1.4901161193847656e-08,Cambodia,KHM,28645293022.6,28647598949.32999,0.9526080136115356,155,28645293022.6,4321.0,Cambodia,KHM,0.0,0.0,0.0,1.1444091796875e-05,1.1444091796875e-05
COMTRADE-FINAL-CA6042024H6[2025-08-05].parquet,604,2024,55008334872.58099,55008326641.021996,8231.559000000001,1.4964203186784766e-07,4684,203,0.9230193718429625,0.794905775672369,0.12811359617059348,0.13879838287119942,0.8612016171288006,0.0,0.9230193718429625,1.0,1.52587890625e-05,0.0,4.76837158203125e-07,Peru,PER,55008326641.022,55008334872.58099,0.9230193718429625,203,55008326641.022,4684.0,Peru,PER,0.0,7.62939453125e-06,7.62939453125e-06,0.0,0.0
COMTRADE-FINAL-CA0312025H6[2026-03-08].parquet,31,2025,24253658310.82,23988189541.02,265468769.8,0.010945514544565408,4555,170,0.8949245179833483,0.7681187178434099,0.12680580013993836,0.14169440840182437,0.8583055915981757,0.0,0.8949245179833483,1.0,0.0,0.0,2.9802322387695312e-08,Azerbaijan,AZE,23988189541.020004,24253658310.82,0.8949245179833483,170,23988189541.020004,4555.0,Azerbaijan,AZE,0.0,3.814697265625e-06,3.814697265625e-06,0.0,0.0
COMTRADE-FINAL-CA6462022H4[2023-02-24].parquet,646,2022,5124655978.4,5124647633.57,8344.83,1.6283688183504937e-06,3949,182,0.8931710692153481,0.7688917853372206,0.12427928387812748,0.1391438753018579,0.8608561246981421,0.0,0.8931710692153481,1.0,9.5367431640625e-07,0.0,3.725290298461914e-09,Rwanda,RWA,5124647633.57,5124655978.4,0.8931710692153481,182,5124647633.57,3949.0,Rwanda,RWA,0.0,0.0,0.0,0.0,0.0
COMTRADE-FINAL-CA3282025H5[2026-02-16].parquet,328,2025,10113840260.296999,10113805077.097,35183.2,3.4787181816698794e-06,3690,160,0.9255937903567768,0.8014371978584953,0.12415659249828148,0.1341372357850677,0.8658627642149324,0.0,0.9255937903567768,1.0,0.0,0.0,2.9802322387695312e-08,Guyana,GUY,10113805077.097002,10113840260.297,0.925593790356776,160,10113805077.097,3690.0,Guyana,GUY,7.771561172376096e-16,0.0,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06
COMTRADE-FINAL-CA4782024H6[2025-10-10].parquet,478,2024,4817889965.629,4811430540.476999,6459425.152000001,0.0013407166203632237,2733,139,0.8911200921041413,0.7689439119141313,0.12217618019001009,0.13710405732354633,0.8628959426764536,0.0,0.8911200921041413,1.0,0.0,0.0,7.450580596923828e-09,Mauritania,MRT,4811430540.476999,4817889965.629,0.8911200921041413,139,4811430540.476999,2733.0,Mauritania,MRT,0.0,0.0,0.0,0.0,0.0
COMTRADE-FINAL-CA5082024H6[2025-10-09].parquet,508,2024,9212646956.3,9137666103.4,74980852.9,0.008138904405614383,4464,209,0.9236601469122969,0.8059617616194079,0.11769838529288901,0.12742607298403302,0.872573927015967,0.0,0.9236601469122969,1.0,1.9073486328125e-06,0.0,3.725290298461914e-09,Mozambique,MOZ,9137666103.400002,9212646956.3,0.9236601469122968,209,9137666103.400002,4464.0,Mozambique,MOZ,1.1102230246251565e-16,1.9073486328125e-06,1.9073486328125e-06,0.0,0.0
COMTRADE-FINAL-CA4842025H6[2026-03-03].parquet,484,2025,663605567587.0,578797385845.0,84808181742.0,0.12779908108724763,4159,218,0.9479084200694632,0.8426847301020643,0.10522368996739884,0.11100617711538842,0.8889938228846116,0.0,0.9479084200694632,1.0,0.0,0.0,1.9073486328125e-06,Mexico,MEX,578797385845.0,663605567587.0,0.9479084200694632,218,578797385845.0,4159.0,Mexico,MEX,0.0,0.0,0.0,0.0,0.0
COMTRADE-FINAL-CA8072024H6[2025-02-26].parquet,807,2024,11966612317.34,11949268396.84,17343920.5,0.001449359270615637,4525,178,0.8857606837507752,0.7810566003844475,0.10470408336632775,0.1182080953547811,0.8817919046452188,0.0,0.8857606837507752,1.0,0.0,0.0,1.4901161193847656e-08,North Macedonia,MKD,11949268396.84,11966612317.34,0.8857606837507752,178,11949268396.84,4525.0,North Macedonia,MKD,0.0,0.0,0.0,0.0,0.0
COMTRADE-FINAL-CA5622024H6[2025-10-15].parquet,562,2024,1501192423.9480002,1501192423.9480002,0.0,0.0,2995,124,0.8656091805933115,0.7618843231033472,0.1037248574899643,0.11982874005433783,0.8801712599456621,0.0,0.8656091805933115,1.0,2.384185791015625e-07,0.0,7.450580596923828e-09,Niger,NER,1501192423.948,1501192423.9480002,0.8656091805933115,124,1501192423.948,2995.0,Niger,NER,0.0,2.384185791015625e-07,2.384185791015625e-07,0.0,0.0
COMTRADE-FINAL-CA0512024H6[2025-08-21].parquet,51,2024,16801485129.582003,16795026899.242002,6458230.34,0.00038438449281064666,4498,185,0.9400745670921349,0.8378521470559888,0.10222242003614612,0.10873862948164142,0.8912613705183585,0.0,0.9400745670921349,1.0,1.9073486328125e-06,0.0,7.450580596923828e-09,Armenia,ARM,16795026899.242,16801485129.582,0.9400745670921348,185,16795026899.242,4498.0,Armenia,ARM,1.1102230246251565e-16,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06
