classification_code,cmd_code,hs_desc_official,bec5_label,bec5_end_use,exercise_03_bin,mapping_status,bec5_primary_flag,primary_strict,primary_broad,primary_strict_rule,primary_broad_rule,primary_mapping_source
H5,160420,"Fish preparations; fish minced or in forms n.e.c. in heading no. 1604, prepared or preserved","Agriculture, forestry, fishing, food, beverages, tobacco |Goods|Final Consumption|Processed|Non-durable",Final Consumption,final_consumption,mapped,False,False,False,not_primary_strict,not_primary_broad,bec5_audit_mapping
H5,160431,Fish preparations; caviar,"Agriculture, forestry, fishing, food, beverages, tobacco |Goods|Final Consumption|Processed|Non-durable",Final Consumption,final_consumption,mapped,False,False,False,not_primary_strict,not_primary_broad,bec5_audit_mapping
H5,160432,"Fish preparations; caviar substitutes, prepared from fish eggs","Agriculture, forestry, fishing, food, beverages, tobacco |Goods|Final Consumption|Processed|Non-durable",Final Consumption,final_consumption,mapped,False,False,False,not_primary_strict,not_primary_broad,bec5_audit_mapping
H5,160510,"Crustacean preparations; crab, prepared or preserved","Agriculture, forestry, fishing, food, beverages, tobacco |Goods|Final Consumption|Processed|Non-durable",Final Consumption,final_consumption,mapped,False,False,False,not_primary_strict,not_primary_broad,bec5_audit_mapping
H5,160521,"Crustacean preparations; shrimps and prawns, prepared or preserved, not in airtight containers","Agriculture, forestry, fishing, food, beverages, tobacco |Goods|Final Consumption|Processed|Non-durable",Final Consumption,final_consumption,mapped,False,False,False,not_primary_strict,not_primary_broad,bec5_audit_mapping
H5,160529,"Crustacean preparations; shrimps and prawns, prepared or preserved, in airtight containers","Agriculture, forestry, fishing, food, beverages, tobacco |Goods|Final Consumption|Processed|Non-durable",Final Consumption,final_consumption,mapped,False,False,False,not_primary_strict,not_primary_broad,bec5_audit_mapping
H5,160530,"Crustacean preparations; lobster, prepared or preserved","Agriculture, forestry, fishing, food, beverages, tobacco |Goods|Final Consumption|Processed|Non-durable",Final Consumption,final_consumption,mapped,False,False,False,not_primary_strict,not_primary_broad,bec5_audit_mapping
H5,160540,"Crustacean preparations; other than crab, shrimps, prawns, and lobsters, prepared or preserved","Agriculture, forestry, fishing, food, beverages, tobacco |Goods|Final Consumption|Processed|Non-durable",Final Consumption,final_consumption,mapped,False,False,False,not_primary_strict,not_primary_broad,bec5_audit_mapping
H5,160551,"Mollusc preparations; oysters, prepared or preserved","Agriculture, forestry, fishing, food, beverages, tobacco |Goods|Final Consumption|Processed|Non-durable",Final Consumption,final_consumption,mapped,False,False,False,not_primary_strict,not_primary_broad,bec5_audit_mapping
H5,160552,"Mollusc preparations; scallops, including queen scallops, prepared or preserved","Agriculture, forestry, fishing, food, beverages, tobacco |Goods|Final Consumption|Processed|Non-durable",Final Consumption,final_consumption,mapped,False,False,False,not_primary_strict,not_primary_broad,bec5_audit_mapping
H5,160553,"Mollusc preparations; mussels, prepared or preserved","Agriculture, forestry, fishing, food, beverages, tobacco |Goods|Final Consumption|Processed|Non-durable",Final Consumption,final_consumption,mapped,False,False,False,not_primary_strict,not_primary_broad,bec5_audit_mapping
H5,160554,"Mollusc preparations; cuttle fish and squid, prepared or preserved","Agriculture, forestry, fishing, food, beverages, tobacco |Goods|Final Consumption|Processed|Non-durable",Final Consumption,final_consumption,mapped,False,False,False,not_primary_strict,not_primary_broad,bec5_audit_mapping
H5,160555,"Mollusc preparations; octopus, prepared or preserved","Agriculture, forestry, fishing, food, beverages, tobacco |Goods|Final Consumption|Processed|Non-durable",Final Consumption,final_consumption,mapped,False,False,False,not_primary_strict,not_primary_broad,bec5_audit_mapping
H5,160556,"Mollusc preparations; clams, cockles and arkshells, prepared or preserved","Agriculture, forestry, fishing, food, beverages, tobacco |Goods|Final Consumption|Processed|Non-durable",Final Consumption,final_consumption,mapped,False,False,False,not_primary_strict,not_primary_broad,bec5_audit_mapping
H5,160557,"Mollusc preparations; abalone, prepared or preserved","Agriculture, forestry, fishing, food, beverages, tobacco |Goods|Final Consumption|Processed|Non-durable",Final Consumption,final_consumption,mapped,False,False,False,not_primary_strict,not_primary_broad,bec5_audit_mapping
H5,160558,"Mollusc preparations; snails, other than sea snails, prepared or preserved","Agriculture, forestry, fishing, food, beverages, tobacco |Goods|Final Consumption|Processed|Non-durable",Final Consumption,final_consumption,mapped,False,False,False,not_primary_strict,not_primary_broad,bec5_audit_mapping
H5,160559,"Mollusc preparations; n.e.c. in item no. 1605.5, preparations such as pastes, sausages, prepared meals and the like","Agriculture, forestry, fishing, food, beverages, tobacco |Goods|Final Consumption|Processed|Non-durable",Final Consumption,final_consumption,mapped,False,False,False,not_primary_strict,not_primary_broad,bec5_audit_mapping
H5,160561,"Aquatic invertebrates; sea cucumbers, prepared or preserved","Agriculture, forestry, fishing, food, beverages, tobacco |Goods|Final Consumption|Processed|Non-durable",Final Consumption,final_consumption,mapped,False,False,False,not_primary_strict,not_primary_broad,bec5_audit_mapping
H5,160562,"Aquatic invertebrates; sea urchins, prepared or preserved","Agriculture, forestry, fishing, food, beverages, tobacco |Goods|Final Consumption|Processed|Non-durable",Final Consumption,final_consumption,mapped,False,False,False,not_primary_strict,not_primary_broad,bec5_audit_mapping
H5,160563,"Aquatic invertebrates; jellyfish, prepared or preserved","Agriculture, forestry, fishing, food, beverages, tobacco |Goods|Final Consumption|Processed|Non-durable",Final Consumption,final_consumption,mapped,False,False,False,not_primary_strict,not_primary_broad,bec5_audit_mapping
