country_sample,year,flow,observed_hs6_codes,active_country_year_hs6_products,reporters_with_trade,reporter_year_flow_observations,trade_value,product_universe,excluded_hs6_codes,source_note,flow_order
rd2_countries,1996,Exports,5381,166597,49,49,4113515345036.0,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,1
rd2_countries,1996,Imports,5382,215387,49,49,4256066829827.0,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,2
rd2_countries,1997,Any flow,5382,380159,50,98,8588609742999.0,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,0
rd2_countries,1997,Exports,5317,162068,48,48,4209475012465.0,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,1
rd2_countries,1997,Imports,5380,218091,50,50,4379134730534.0,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,2
rd2_countries,1998,Any flow,5380,392842,49,98,8666599328855.0,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,0
rd2_countries,1998,Exports,5267,171575,49,49,4267641549686.0,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,1
rd2_countries,1998,Imports,5378,221267,49,49,4398957779169.0,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,2
rd2_countries,1999,Any flow,5372,417196,52,104,9341057043883.0,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,0
rd2_countries,1999,Exports,5264,181800,52,52,4539215479433.0,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,1
rd2_countries,1999,Imports,5368,235396,52,52,4801841564450.0,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,2
rd2_countries,2000,Any flow,5358,451994,58,116,10482859754081.568,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,0
rd2_countries,2000,Exports,5207,194587,58,58,5055605369257.678,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,1
rd2_countries,2000,Imports,5356,257407,58,58,5427254384823.893,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,2
rd2_countries,2001,Any flow,5313,453854,59,118,10120507095872.77,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,0
rd2_countries,2001,Exports,5189,194313,59,59,4888007529568.054,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,1
rd2_countries,2001,Imports,5296,259541,59,59,5232499566304.727,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,2
rd2_countries,2002,Any flow,5642,462394,59,118,10652008248962.31,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,0
rd2_countries,2002,Exports,5526,199237,59,59,5152835749431.885,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,1
rd2_countries,2002,Imports,5622,263157,59,59,5499172499530.445,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,2
rd2_countries,2003,Any flow,5633,463332,59,118,12403975058164.139,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,0
rd2_countries,2003,Exports,5458,199742,59,59,5986324203114.862,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,1
rd2_countries,2003,Imports,5611,263590,59,59,6417650855049.263,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,2
rd2_countries,2004,Any flow,5633,467252,59,118,14955560754765.484,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,0
rd2_countries,2004,Exports,5461,201793,59,59,7182038061454.144,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,1
rd2_countries,2004,Imports,5612,265459,59,59,7773522693311.329,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,2
rd2_countries,2005,Any flow,5627,477424,60,120,16903264946972.258,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,0
rd2_countries,2005,Exports,5427,206351,60,60,8087779273676.27,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,1
rd2_countries,2005,Imports,5612,271073,60,60,8815485673296.01,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,2
rd2_countries,2006,Any flow,5613,471882,59,117,19344802083347.434,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,0
rd2_countries,2006,Exports,5421,205120,58,58,9308411455512.047,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,1
rd2_countries,2006,Imports,5588,266762,59,59,10036390627835.395,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,2
rd2_countries,2007,Any flow,5877,471357,60,120,22436849604992.383,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,0
rd2_countries,2007,Exports,5691,204571,60,60,10853410741501.893,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,1
rd2_countries,2007,Imports,5857,266786,60,60,11583438863490.482,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,2
rd2_countries,2008,Any flow,5667,472352,60,120,25665875893185.66,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,0
rd2_countries,2008,Exports,5540,205563,60,60,12349583393490.672,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,1
rd2_countries,2008,Imports,5660,266789,60,60,13316292499694.982,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,2
rd2_countries,2009,Any flow,5520,461069,59,118,19494661843385.1,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,0
rd2_countries,2009,Exports,5334,200649,59,59,9424657469524.63,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,1
rd2_countries,2009,Imports,5515,260420,59,59,10070004373860.465,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,2
rd2_countries,2010,Any flow,5627,464811,59,118,23504868146463.664,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,0
rd2_countries,2010,Exports,5387,202576,59,59,11309534454642.742,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,1
rd2_countries,2010,Imports,5618,262235,59,59,12195333691820.926,Observed positive HS6 product codes,999999,Exports use exercise_02_12 product aggregates; imports use Exercise 3 import product-value checkpoints. HS6 999999 is excluded before aggregation.,2
